latitude,longitude,elevation,plate,temperature,precipitation
#degrees,degrees,meters,id,celcius,millimeters/year
58.282523282095724,-180.00000500895632,-2633.889892578125,2,-12.892584228515602,1428.4322509765625
58.282523282095724,0,-2634.39892578125,4,-12.002111816406227,1428.4322509765625
-58.282523282095724,-180.00000500895632,-2629.665771484375,3,-11.923681640624977,1428.4322509765625
-58.282523282095724,0,-2634.4462890625,0,-12.959448242187477,1428.4322509765625
-31.717472392193272,-90.00000250447816,-2634.3466796875,0,26.894677734375023,367.45489501953125
31.717472392193272,-90.00000250447816,-2634.07666015625,0,19.562829589843773,367.45489501953125
-31.717472392193272,90.00000250447816,-2634.4462890625,1,18.739739990234398,367.45489501953125
31.717472392193272,90.00000250447816,848.7794189453125,2,22.844781494140648,367.45489501953125
0,31.717472392193272,234.2628173828125,0,36.59661254882815,3792.05078125
0,-31.717472392193272,-2634.13134765625,0,37.4818054199219,3792.05078125
0,148.28253261676306,-2634.085205078125,1,37.1254821777344,3792.05078125
0,-148.28253261676306,-2633.972412109375,0,37.92034301757815,3792.05078125
57.62599866888493,-179.11339181317533,-2633.86767578125,2,-11.712377929687477,1471.8135986328125
56.95206731857436,-178.2439770337244,-2633.86767578125,2,-10.510412597656227,1513.5059814453125
56.260787287771954,-177.39167870833353,-2634.13134765625,255,-9.324255371093727,1552.9952392578125
55.552243953842336,-176.55634657284097,-2633.837158203125,0,-8.154608154296852,1589.731689453125
54.82654659981224,-175.73781670270662,-2633.845947265625,0,-7.002233886718727,1623.1356201171875
54.08382499927588,-174.93592517339047,-2633.85791015625,0,-5.867956542968727,1652.6038818359375
53.3242533220571,-174.15048073959568,-2633.86669921875,0,-4.752600097656227,1677.516357421875
52.54801256816891,-173.38123751451215,-2633.873291015625,0,-3.6569885253906023,1697.246826171875
51.75533496404308,-172.62800425284314,-2633.8818359375,0,-2.5816101074218523,1711.17333984375
50.94646639648973,-171.89050774702184,-2633.89111328125,0,-1.5260986328124773,1718.691162109375
50.1216971485486,-171.1685157706165,-2633.891357421875,0,-0.49182739257810226,1719.2271728515625
49.28134482401608,-170.4617687764386,-2633.89892578125,0,0.5191284179687727,1712.2552490234375
48.42577142291819,-169.76999355692135,-2633.9072265625,0,1.5058532714843977,1697.3138427734375
47.555359435848445,-169.09290324411964,-2633.912109375,0,2.4768920898437727,1674.022705078125
46.67053574962997,-168.43022463046668,-2633.906982421875,0,3.5561462402343977,1642.1011962890625
45.77176140203175,-167.7816845083956,-2633.8994140625,0,4.735894775390648,1601.3863525390625
44.8595315817686,-167.14698234958303,-2633.8994140625,0,5.894769287109398,1551.849609375
43.93437562850121,-166.52583128608373,-2633.9033203125,0,7.021936035156273,1493.6124267578125
42.996867278119836,-165.91795811033091,-2633.9052734375,0,8.117272949218773,1426.960693359375
42.04760417217688,-165.32306229400115,-2633.90087890625,0,9.182305908203148,1352.3546142578125
41.08722834845432,-164.74085696914926,-2633.9130859375,0,10.216729736328148,1270.437255859375
40.11640233530163,-164.17106892820846,-2633.922119140625,0,11.218804931640648,1182.0364990234375
39.13582964220333,-163.61338398247693,-2633.922119140625,0,12.216455078125023,1088.165771484375
38.14623768430604,-163.06755624514452,-2633.92724609375,0,13.208184814453148,990.0161743164062
37.14838119751302,-162.53329884826613,-2633.931396484375,0,14.163842773437523,888.9454956054688
36.14303540829509,-162.0103249238966,-2633.931396484375,0,15.083154296875023,786.461181640625
35.13101993935264,-161.49837492484747,-2633.938232421875,0,15.966638183593773,684.2003784179688
34.113144168102316,-160.99718930393027,-2633.93603515625,0,16.821374511718773,583.8975219726562
33.09024820781204,-160.5064948535782,-2633.94677734375,0,17.744348144531273,487.357421875
32.06318241703347,-160.02603202660282,-2633.94775390625,0,18.723229980468773,396.4180908203125
31.03281081469661,-159.55556859657236,-2633.94970703125,0,19.674615478515648,312.91339111328125
30.000000834826057,-159.0948450162983,-2633.949462890625,0,20.607171630859398,238.6328582763672
28.9656199114464,-158.64361539897058,-2633.95654296875,0,21.759423828125023,175.28187561035156
27.930532063487647,-158.2016475181574,-2633.957275390625,0,22.886865234375023,124.44283294677734
26.89560643252168,-157.76870914742696,-2633.956298828125,0,23.972131347656273,87.53874206542969
25.861693377100174,-157.34458172072587,-2633.960693359375,0,25.009027099609398,65.79886627197266
24.829636425585612,-156.9290330116223,-2633.960693359375,0,25.998132324218773,60.230464935302734
23.800262030867575,-156.52185811444113,-2633.95849609375,0,26.940057373046898,71.59504699707031
22.774381277910003,-156.122838463129,-2633.9560546875,0,27.835443115234398,100.3909683227539
21.752776223372855,-155.7317828123891,-2633.9560546875,0,28.685083007812523,146.84307861328125
20.73620843334859,-155.34847259616797,-2633.9560546875,0,29.489678955078148,210.89874267578125
19.72541215317299,-154.97271656916888,-2633.953857421875,0,30.250146484375023,292.2309875488281
18.721092599877853,-154.60433714647343,-2633.95947265625,0,30.967340087890648,390.248046875
17.72392596219101,-154.24312942240647,-2633.963134765625,0,31.642236328125023,504.10894775390625
16.734547447705275,-153.88892947242795,-2633.96240234375,0,32.27578125000002,632.7457885742188
15.753559820614901,-153.54155971161944,-2633.971923828125,0,32.86895141601565,774.8886108398438
14.781538524357462,-153.20084255506254,-2633.971923828125,0,33.4228454589844,929.0931396484375
13.819009483499048,-152.86662773859547,-2633.977783203125,0,33.93856201171877,1093.776123046875
12.86646703298084,-152.5387240169215,-2633.977783203125,0,34.41716918945315,1267.2459716796875
11.924368795477225,-152.21700844663556,-2633.97021484375,0,34.85976562500002,1447.7366943359375
